week,campus,metric,pct
2024-10-10,green_valley,attend,0.9682999999999999
2024-10-10,jordan,attend,0.9537
2024-10-10,paschal,attend,0.9564
2024-10-10,rose_garden,attend,0.9464
2024-10-10,schertz,attend,0.9561
2024-10-10,schlather,attend,0.9616
2024-10-10,sippel,attend,0.9566
2024-10-10,watts,attend,0.9539
2024-10-10,wiederstein,attend,0.9498000000000001
2024-10-10,wilder,attend,0.9477
2024-10-18,als_elc,attend,0.7772
2024-10-18,b_steele,attend,0.9447
2024-10-18,cibolo_valley,attend,0.9573999999999999
2024-10-18,clemens,attend,0.9279000000000001
2024-10-18,corbett,attend,0.9406
2024-10-18,dobie,attend,0.9612999999999999
2024-10-18,green_valley,attend,0.9658
2024-10-18,jordan,attend,0.9540000000000001
2024-10-18,paschal,attend,0.9598
2024-10-18,rose_garden,attend,0.9408
2024-10-18,schertz,attend,0.9523
2024-10-18,schlather,attend,0.9581999999999999
2024-10-18,sippel,attend,0.9634999999999999
2024-10-18,watts,attend,0.9568000000000001
2024-10-18,wiederstein,attend,0.9477
2024-10-18,wilder,attend,0.9347
2024-10-25,als_elc,attend,0.7598
2024-10-25,b_steele,attend,0.951
2024-10-25,cibolo_valley,attend,0.9445
2024-10-25,clemens,attend,0.9335
2024-10-25,corbett,attend,0.9272
2024-10-25,dobie,attend,0.9562
2024-10-25,green_valley,attend,0.9469
2024-10-25,jordan,attend,0.9390999999999999
2024-10-25,paschal,attend,0.9614
2024-10-25,rose_garden,attend,0.9384999999999999
2024-10-25,schertz,attend,0.9478
2024-10-25,schlather,attend,0.9556
2024-10-25,sippel,attend,0.9434999999999999
2024-10-25,watts,attend,0.9484
2024-10-25,wiederstein,attend,0.9343
2024-10-25,wilder,attend,0.9355
2024-11-01,als_elc,attend,0.755
2024-11-01,b_steele,attend,0.9378
2024-11-01,cibolo_valley,attend,0.9359000000000001
2024-11-01,clemens,attend,0.9209
2024-11-01,corbett,attend,0.9238
2024-11-01,dobie,attend,0.9431
2024-11-01,green_valley,attend,0.9537
2024-11-01,jordan,attend,0.9265000000000001
2024-11-01,paschal,attend,0.9490000000000001
2024-11-01,rose_garden,attend,0.9126000000000001
2024-11-01,schertz,attend,0.9417
2024-11-01,schlather,attend,0.951
2024-11-01,sippel,attend,0.9434
2024-11-01,watts,attend,0.9311
2024-11-01,wiederstein,attend,0.9358
2024-11-01,wilder,attend,0.9272
2024-11-07,als_elc,attend,0.7309
2024-11-07,b_steele,attend,0.9521
2024-11-07,cibolo_valley,attend,0.9619
2024-11-07,clemens,attend,0.9301
2024-11-07,corbett,attend,0.9351999999999999
2024-11-07,dobie,attend,0.9540000000000001
2024-11-07,green_valley,attend,0.9618000000000001
2024-11-07,jordan,attend,0.9442
2024-11-07,paschal,attend,0.9661
2024-11-07,rose_garden,attend,0.925
2024-11-07,schertz,attend,0.9542
2024-11-07,schlather,attend,0.9629000000000001
2024-11-07,sippel,attend,0.9590000000000001
2024-11-07,watts,attend,0.9537
2024-11-07,wiederstein,attend,0.9492
2024-11-07,wilder,attend,0.9445
2024-11-15,als_elc,attend,0.7356999999999999
2024-11-15,b_steele,attend,0.9367
